model_name,model_id,family,provider,deployment,parameters_b,context_length_k,dataset,horizon,prompt_strategy,representation,smape,mae,rmse,inference_time_s,co2_g,cost_usd_per_1k_forecasts,run_id,evaluation_date,hardware,quantization,notes
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,96,cot+few,CSV numeric,21.234,0.14522,0.22175,2.307,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,96,cot+few,CSV numeric,21.212,0.13633,0.18257,1.858,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,96,cot+few,CSV numeric,23.136,0.13147,0.16176,2.188,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,96,cot+few,CSV numeric,19.877,0.1348,0.21715,2.013,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,zero-shot,CSV numeric,24.553,0.1509,0.2305,2.172,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,zero-shot,CSV numeric,25.499,0.17489,0.26181,2.201,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,zero-shot,CSV numeric,25.755,0.17382,0.25986,2.09,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,zero-shot,CSV numeric,24.288,0.14053,0.23112,2.627,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,zero-shot,CSV numeric,24.706,0.1635,0.27371,2.075,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,few-shot,CSV numeric,22.977,0.1536,0.22074,2.469,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,few-shot,CSV numeric,23.406,0.13421,0.21874,2.495,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,few-shot,CSV numeric,23.606,0.1258,0.16692,2.189,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,few-shot,CSV numeric,22.571,0.14526,0.17467,2.151,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,few-shot,CSV numeric,23.254,0.16391,0.25936,2.367,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot,CSV numeric,22.525,0.1379,0.20978,2.755,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot,CSV numeric,23.843,0.12863,0.19607,2.644,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot,CSV numeric,23.468,0.12915,0.1689,2.221,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot,CSV numeric,24.61,0.14,0.2298,2.307,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot,CSV numeric,23.132,0.12871,0.20153,2.368,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot+few,CSV numeric,24.11,0.16471,0.25724,2.715,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot+few,CSV numeric,22.313,0.14329,0.21557,2.219,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot+few,CSV numeric,25.277,0.16477,0.26206,2.626,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot+few,CSV numeric,22.204,0.1356,0.1998,2.756,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Mistral Medium 3.5,mistral/mistral-medium-3.5-128b,Mistral,NVIDIA NIM,API,128.0,256.0,Carbon,192,cot+few,CSV numeric,22.241,0.15347,0.25819,2.382,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,zero-shot,CSV numeric,19.512,0.14586,0.19383,2.728,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,zero-shot,CSV numeric,18.886,0.16805,0.2656,3.223,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,zero-shot,CSV numeric,19.021,0.15438,0.19966,3.535,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,zero-shot,CSV numeric,20.211,0.16731,0.25568,3.024,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,zero-shot,CSV numeric,19.378,0.15857,0.21174,2.836,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,few-shot,CSV numeric,20.122,0.14746,0.21044,2.75,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,few-shot,CSV numeric,18.625,0.12706,0.19624,3.541,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,few-shot,CSV numeric,19.075,0.12868,0.15718,3.307,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,few-shot,CSV numeric,22.169,0.14725,0.23389,2.945,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,few-shot,CSV numeric,20.03,0.18007,0.22182,3.418,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot,CSV numeric,18.416,0.15247,0.24841,2.743,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot,CSV numeric,18.254,0.1348,0.1701,2.745,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot,CSV numeric,20.307,0.13488,0.22364,2.878,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot,CSV numeric,19.115,0.13106,0.20412,3.181,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot,CSV numeric,21.05,0.14675,0.18172,3.184,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot+few,CSV numeric,18.515,0.15324,0.25933,3.262,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot+few,CSV numeric,20.024,0.14841,0.17842,3.083,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot+few,CSV numeric,19.342,0.14949,0.19238,2.611,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot+few,CSV numeric,20.901,0.181,0.23017,2.853,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,96,cot+few,CSV numeric,19.043,0.15013,0.23269,3.23,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,zero-shot,CSV numeric,22.511,0.15162,0.19364,3.952,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,zero-shot,CSV numeric,22.223,0.19538,0.29789,3.948,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,zero-shot,CSV numeric,21.844,0.1454,0.18244,2.968,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,zero-shot,CSV numeric,22.908,0.19419,0.29033,3.028,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,zero-shot,CSV numeric,20.957,0.1369,0.18349,3.245,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,few-shot,CSV numeric,21.839,0.18345,0.28394,3.019,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,few-shot,CSV numeric,20.008,0.1398,0.21305,3.425,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,few-shot,CSV numeric,23.767,0.18529,0.2316,3.049,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,few-shot,CSV numeric,21.536,0.15532,0.21397,3.235,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,few-shot,CSV numeric,20.042,0.17633,0.23804,2.991,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot,CSV numeric,22.237,0.18912,0.3101,3.412,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot,CSV numeric,22.42,0.16091,0.23244,2.9,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot,CSV numeric,19.941,0.14501,0.21499,2.907,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot,CSV numeric,20.483,0.13682,0.19682,3.254,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot,CSV numeric,20.651,0.17364,0.29098,3.021,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot+few,CSV numeric,19.182,0.15545,0.24172,3.684,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot+few,CSV numeric,21.77,0.17053,0.23225,2.98,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot+few,CSV numeric,21.052,0.15135,0.18874,3.08,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot+few,CSV numeric,20.484,0.15471,0.19262,3.366,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,ETTh2,192,cot+few,CSV numeric,19.166,0.15232,0.22022,3.429,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,zero-shot,CSV numeric,21.428,0.21567,0.31049,2.578,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,zero-shot,CSV numeric,20.378,0.18914,0.32149,3.305,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,zero-shot,CSV numeric,19.813,0.16906,0.25356,2.625,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,zero-shot,CSV numeric,20.829,0.21297,0.32123,2.856,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,zero-shot,CSV numeric,20.129,0.17675,0.21966,2.877,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,few-shot,CSV numeric,21.047,0.22626,0.36216,3.185,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,few-shot,CSV numeric,20.733,0.23238,0.33771,2.784,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,few-shot,CSV numeric,20.149,0.17197,0.22723,2.935,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,few-shot,CSV numeric,20.183,0.22848,0.30757,3.097,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,few-shot,CSV numeric,20.023,0.17945,0.22462,3.078,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot,CSV numeric,20.212,0.20952,0.33249,2.962,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot,CSV numeric,19.059,0.16344,0.22301,3.07,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot,CSV numeric,20.652,0.20676,0.3182,3.25,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot,CSV numeric,20.294,0.21007,0.31474,2.88,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot,CSV numeric,19.991,0.21099,0.26744,3.013,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot+few,CSV numeric,19.525,0.21926,0.281,3.083,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot+few,CSV numeric,20.297,0.23189,0.33102,3.552,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot+few,CSV numeric,23.381,0.26765,0.39571,2.763,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot+few,CSV numeric,19.671,0.22661,0.3217,2.832,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,96,cot+few,CSV numeric,21.279,0.24718,0.30012,3.327,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,zero-shot,CSV numeric,23.751,0.2092,0.32342,3.618,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,zero-shot,CSV numeric,23.894,0.24255,0.40108,3.889,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,zero-shot,CSV numeric,22.664,0.21005,0.30521,2.975,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,zero-shot,CSV numeric,22.998,0.23254,0.28537,3.208,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,zero-shot,CSV numeric,21.229,0.23367,0.2871,3.856,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,few-shot,CSV numeric,20.501,0.21714,0.30428,3.037,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,few-shot,CSV numeric,21.079,0.2383,0.39609,3.822,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,few-shot,CSV numeric,21.68,0.25257,0.33439,2.945,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,few-shot,CSV numeric,20.972,0.19918,0.23972,3.557,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,few-shot,CSV numeric,21.068,0.18079,0.24988,3.89,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot,CSV numeric,22.958,0.25044,0.34162,3.822,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot,CSV numeric,22.027,0.1862,0.2267,4.021,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot,CSV numeric,21.627,0.24616,0.29791,3.787,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot,CSV numeric,21.937,0.18585,0.2498,3.74,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot,CSV numeric,21.013,0.19813,0.26851,3.993,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot+few,CSV numeric,20.495,0.20997,0.29495,3.506,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot+few,CSV numeric,19.643,0.22402,0.37322,3.52,,0.0,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot+few,CSV numeric,22.699,0.25365,0.37577,3.679,,0.0,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot+few,CSV numeric,21.209,0.23065,0.30084,3.442,,0.0,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Electricity,192,cot+few,CSV numeric,21.552,0.24207,0.36431,3.008,,0.0,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,Qwen,NVIDIA NIM,API,397.0,262.0,Traffic,96,zero-shot,CSV numeric,21.374,0.32301,0.45093,3.447,,0.0,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
